,lead_paragraph,headline,uplifting
357,"Nate Robinson was on the court again Friday night, driving, dishing, occasionally bouncing and hooting if the mood struck. Whatever his transgressions were in December, they faded in the light of the new year. Benched for 14 games, Robinson reclaimed his role and his special swagger, scoring 41 points to lead the Knicks in a 112-108 overtime victory against the Atlanta Hawks. The Knicks enjoyed it to the hilt, bursting onto the court at every timeout to help Robinson celebrate his return.",Robinson Return Is Electric For Knicks,0
358,"The Obama administration's $75 billion program to protect homeowners from foreclosure has been widely pronounced a disappointment, and some economists and real estate experts now contend it has done more harm than good. Since President Obama announced the program in February, it has lowered mortgage payments on a trial basis for hundreds of thousands of people but has largely failed to provide permanent relief. Critics increasingly argue that the program, Making Home Affordable, has raised false hopes among people who simply cannot afford their homes.",U.S. Loan Effort Is Seen As Adding To Housing Woes,0
359,"CHOI SUNG-YONG remembers his father as a war hero who became a successful fishing boat captain, a reserved man who helped at orphanages and once splurged to buy his music-loving teenage son a record player, a true luxury at the time.",Serving a Father by Bringing Long-Lost Koreans Home,0
360,"The computer consultant believed to be the only survivor among five British men kidnapped in Iraq more than two and a half years ago flew to a quiet homecoming at a military base outside London on Friday. British officials said the freed man, Peter Moore, 36, would be taken to an undisclosed location for a ''period of decompression'' with his family. He has made no public statements, and the officials said the cocoon thrown around him since his release Wednesday was his own preference and his family's.",Freed Captive Is Reunited With His Family in Britain,0
361,"Iraqis on Friday reacted with disbelief, anger and bitter resignation to news that criminal charges in the United States had been dismissed against Blackwater security guards who opened fire on unarmed Iraqi civilians in 2007 in a fusillade that left 17 dead. ''What are we -- not human?'' asked Abdul Wahab Adul Khader, a 34-year-old bank employee and one of at least 20 people wounded in the melee. ''Why do they have the right to kill people? Is our blood so cheap? For America, the land of justice and law, what does it mean to let criminals go?''",Iraqis Angered at Dropping Of Blackwater Charges,0
362,A surreal mix of piety during the day and partying at night.,Cairo Aglow at Ramadan,0
363,Expats and show-biz types are making over Andheri.,A Mumbai Suburb's Transformation,0
364,"Now that Ohio State and Oregon have finished playing in the Rose Bowl, the grass on the field will be cut down to its nubs and a new field will be rolled out for Alabama and Texas to play on next Thursday in the Bowl Championship Series title game. Darryl Dunn, the Rose Bowl's general manager, said stadium officials considered patching any rough spots in the field after the Rose Bowl game and then repainting new logos in the end zones and at midfield.",The Grass Is Greener,0
365,"It ended as it all began, in a rush of light. But even the brilliance of its mirrored corridors, twinkling trees and shimmering heirloom chandeliers could not avert the bankruptcy blackout of Tavern on the Green. And so there was a last waltz. With formidable revelry and not a few tears, some 1,700 New Year's Eve celebrators paid $125 to $500 a person for the privilege of welcoming 2010 with a last, vast, rollicking hurrah for the landmark restaurant in Central Park.",A Last New Year's Eve Toast for Tavern on the Green,0
366,"At 9:45 on Friday morning, just hours before he was to be sworn in as New York City's comptroller, John C. Liu stood in the front yard of his house in Flushing, Queens. He woke up later than he normally does. In the New Year's Day chill, he wore no coat over his suit. There was no last-minute agonizing about his speech, or worry about the fact that his relatives, who were supposed to pick him up, were running late.","A New Comptroller, Cheered by Asian-Americans Declaring a New Era",0
367,"PARIS -- Does the world really need yet another Roman Catholic saint, particularly if that means canonizing one of the most controversial popes in history? By one count, there are already more than 10,000 saints and ''beati,'' or blessed, accumulated since Roman times, with at least three saints already assigned for every day of the year. That's just one of several reasons why Pope Benedict XVI's decision to proceed toward the canonization of Pius XII, the church's World War II-era pope, was so surprising.",Why a Rush to Pius XII Sainthood?,0
368,"The entrance to the sanctuary at the Glory of Christ Church declares, ''My house shall be called a house of prayer.'' Unfortunately, the graffiti scrawled on the walls call it something a lot worse. ''Crip killer,'' ''Get off our block,'' and ''Hail Satan'' are among the few epithets that can be repeated in church or in a newspaper. But the real obscenity is what is gone: a longingly restored church whose congregation had been slowly growing since moving into a former synagogue in the Unionport section of the Bronx in 2001. Before sunrise on Dec. 9, vandals trashed the church, stole what they valued, then set fire to it.","In the Bronx, a Church Defiled but Unbowed",0
369,"The withering criticism that American officials failed to heed early warnings about Umar Farouk Abdulmutallab, the Nigerian man accused of trying to bomb an airplane on Christmas Day, has cast a similarly harsh light on Nigeria's own national security agencies, revealing potentially crippling lapses in cooperation within them. One Nigerian intelligence official said that Mr. Abdulmutallab's journey should have been thwarted at the airport in Lagos, Nigeria's largest city, where he boarded a plane to Amsterdam, from which he went on to Detroit.",Security Flaws in Nigeria Are Now Drawing Notice,0
370,"The withering criticism that American officials failed to heed early warnings about Umar Farouk Abdulmutallab, the Nigerian man accused of trying to bomb an airplane on Christmas Day, has cast a similarly harsh light on Nigeria's own national security agencies, revealing potentially crippling lapses in cooperation within them. One Nigerian intelligence official said that Mr. Abdulmutallab's journey should have been thwarted at the airport in Lagos, Nigeria's largest city, where he boarded a plane to Amsterdam, from which he went on to Detroit.",Security Flaws in Nigeria Are Now Drawing Notice,0
371,"ROSS--Morton. A loving companion for over 30 years, I mourn the loss of Morton Ross. We were each others bright lights in times of darkness. Great times, great memories. Susie Silverman","Paid Notice: Deaths  ROSS, MORTON",0
