,lead_paragraph,headline,uplifting
592,"<!-- LEROY  PARKINS -->PARKINS--Leroy ""Sam"", 83, of Manhattan, died November 19, 2009 in Tel Aviv. Musician extraordinaire-jazz clarinet/sax, composer, record producer, Columbia, RCA. Beloved husband of 41 years of the late Camilla Kemple. He is survived by siblings Ted Parkins, Rosemary Monroe; nephews Ted Parkins, Jr., Michael Monroe; nieces Jean Monroe, Jennifer McKinnon; beloved ""honorary daughter"" Joan Falk; and countless bereft friends. Commemoration February 7, 2010.<br><br>
 ","Paid Notice: Deaths  PARKINS, LEROY ",0
593,"At the Depósito del Automóvil, the country’s official antique car museum, a century of automotive history is on display.",Checking Out Cuba&#39;s Antique Car Museum ,0
595,"IF Elizabeth Khinda, a 28-year-old algebra teacher, had her way, she would live in a world of pink ruffles and floral-patterned pastels, a place as frilly and feminine as the inside of a jewelry box. ''When we buy a house,'' said Ms. Khinda, who is engaged to Thomas O'Donnell, 32, a telecommunications worker, ''I'd like to have a very girlie room with a vanity and a very feminine chair and lots of pinks and florals.''",Don't Like the Décor? Wait a Minute,0
596,"Periods of intense partisanship and turmoil occasionally lead to a smattering of Congressional party-switching. But changing affiliation is no guarantee of political survival. Just ask ex-Representative Michael P. Forbes of New York. Before the recent decision by Representative Parker Griffith of Alabama to change his Congressional jersey, Mr. Forbes had been the last House member to abandon the majority for the minority. But back in 1999, Mr. Forbes, a three-term lawmaker, went the opposite direction of Mr. Griffith, sliding from the Republican column to the smaller Democratic side, saying his party had become too narrow and intolerant.","The Time May Be Ripe for Party-Switching, but Its Risks Are Apparent",0
597,"WHEN Andrew Pattison was looking to pursue a graduate degree in sustainability, he drew on his post-college experience working as a conservation biologist in upstate New York. Butterflies were his thing, and he produced numerous recommendations about what should be done to protect them. ''I found that quote-unquote important people who were decision makers would read the reports I filed and then not follow them,'' Mr. Pattison says. Those frustrations led him in a different direction. ''I knew I wanted to study the way decisions were made on environmental policy,'' he says. He also knew where many of the important decisions were made: in cities. With energy and climate policy, he says, ''the problem is global, but all politics are local.''",Sustainability Comes of Age,0
598,"Maybe they were better off in the Stone Age than we think. As early as 9,000 years ago, long before the wheel was invented, inhabitants of a Neolithic village in China were brewing a type of mead, or fermented honey and fruit, with an alcohol content of 10 percent, the archaeologist Patrick McGovern discovered recently. The finding by Dr. McGovern, a biomolecular archaeologist at the University of Pennsylvania Museum, fits in with his thesis that the development of agriculture was the result of an irrepressible impulse toward drinking and intoxication, Spiegel Online reports. ''Consuming high energy sugar and alcohol was a fabulous solution for surviving in a hostile environment with few natural resources,'' said Dr. McGovern, a leading expert on ancient brewing.","The Stone Age Rocked, if You Liked Your Liquor",0
599,"A heavily bandaged 28-year-old Somali man was wheeled into a Danish court on a stretcher on Saturday and was charged with attempting to kill a Danish artist whose 2005 cartoon of the Prophet Muhammad was one of a series that ignited riots across the Muslim world, as well as firebombing attacks on Danish and other Western diplomatic missions. At one point during the attack, which took place late Friday, only a reinforced bathroom door protected the artist, Kurt Westergaard, 74, who was shielding his 5-year-old granddaughter as the attacker -- armed with an ax and a knife and shouting ''Revenge!'' and ''Blood!'' -- tried to smash through the door, according to an account the artist gave to the newspaper that employs him, Jyllands-Posten.",Cartoonist In Denmark Calls Attack 'Really Close',0
600,"Abdul Kagdi looked up from his Koran with a stare as frigid as the winter breeze swirling outside his 110-220 Volts Electronics shop. ''I only have a few minutes,'' he said, his courtesy overcoming his irritation at being interrupted. ''I'm praying.'' Mr. Kagdi's shop is located at one of Chicago's more unusual street corners. Neighbors who inhabit the red and yellow brick walk-up apartments that surround the store come largely from an area of the world that fights over the Kashmir Valley, which lies in the middle of the rivalry between India and Pakistan and where people of different religions attack and kill one another.",Shedding Old Rivalries And Pulling Together,1
601,"SPIEGEL--Herbert MD, (June 29, 1914 - December 15, 2009) internationally renowned psychiatrist practicing in New York City, Battalion Surgeon, North Africa, WWII, awarded Purple Heart, teacher of Military Psychiatry, Professor and Special Lecturer at Psychiatric Institute, Columbia University Medical Center and named A Living Treasure for his pioneer work as a clinician, teacher, author and researcher in hypnosis and brief psychotherapy. He is survived by his wife and colleague, Dr. Marcia Greenleaf, his son Dr. David Spiegel, his daughter Dr. Ann Spiegel, their spouses, four grandchildren and extended family. His profound contributions to Psychotherapy will live on through those he taught and those whose lives he touched so deeply.","Paid Notice: Deaths  SPIEGEL, HERBERT MD",0
602,"A few weeks ago Hipster Runoff, a blog that ridicules bohemian culture with hilarious precision, began advertising a ''genre shirt.'' In photos that seem straight out of an American Apparel billboard, a young woman poses in the T-shirt, which asks, ''What kind of music do u listen 2?'' and offers, in a matrix of small type, more than 200 underground musical styles, both real (shoegaze, crab-core) and fake (Sufjan-house, crab-gaze). For those who has scratched their heads in confusion (or rolled their eyes) reading a music blog lately, the joke is uncomfortably close to the truth. Ten or 20 years ago it was relatively easy to define the term ''indie-rock'' as a handful of related styles and a collective audience slightly on the fringe of the mainstream. But by the end of the decade it has become an ever-expanding, incomprehensibly cluttered taxonomy of subgenres. So you say you like indie-rock -- well, do you mean mumblecore? Freak-folk? Ambient doom-metal? Eight-bit?",When Indie-Rock Genres Outnumber the Bands,0
604,"Social networking is responsible for the dumbing-down of American trash talk. Chad Ochocinco used this week's matchup with the All-Pro cornerback Darrelle Revis as reason to compose a Twitter ''Song of Myself,'' but Ochocinco's barbaric yawp lacked its usual flair. ''I'm coming to the big apple to give NY what they've never seen, an escape inmate gone wild on Revis Island'' is well composed, but it doesn't resonate like an end-zone ''Riverdance.'' Ochocinco contains multitudes, so even he was moved to compliment Revis. ''Technique is awesome -- good patience at the line'' was among the few printable scouting reports. Revis was mostly silent, as one who can't get a word in edgewise often is. The Revis-Ochocinco battle will end in a stalemate, turning the Bengals' passing game into a series of 5-yard dump-offs to Brian Leonard. The Jets' passing game (what's left of it) will be shut down by Leon Hall, Johnathan Joseph and the solid Bengals secondary. That leaves both teams trying to run against great run defenses. The Bengals and the Jets use more formations with six offensive linemen than other teams, so don't expect a lot of finesse. It's a good thing Giants Stadium is closing, because with two teams running up the middle behind wide-load offensive fronts, the playing surface may be permanently warped after Sunday night.",Trading Talk for Tweets As Jets and Bengals Face Off,0
605,"PARKINS--Leroy ""Sam"", 83, of Manhattan, died November 19, 2009 in Tel Aviv. Musician extraordinaire-jazz clarinet/sax, composer, record producer, Columbia, RCA. Beloved husband of 41 years of the late Camilla Kemple. He is survived by siblings Ted Parkins, Rosemary Monroe; nephews Ted Parkins, Jr., Michael Monroe; nieces Jean Monroe, Jennifer McKinnon; beloved ""honorary daughter"" Joan Falk; and countless bereft friends. Commemoration February 7, 2010.","Paid Notice: Deaths  PARKINS, LEROY ""SAM""",0
606,"Gilbert Arenas stood at his locker with his back to about 20 reporters and cameramen. He smiled as he dressed after the Washington Wizards' 97-86 loss to the San Antonio Spurs on Saturday, seemingly amused by the fuss. ''I wish it was like this every day,'' Arenas said.",Bad Judgment' Cited By Arenas in Gun Case,0
607,"Two of Chicago's most prominent reform politicians gave their blessings to candidates last week. The beneficiaries better hope it is not an omen. Paul Vallas, the former Chicago public schools chief executive -- whose narrow loss to Rod R. Blagojevich in the 2002 Democratic primary for governor has made him a favorite ''I told you so'' lesson of the good-government crowd -- endorsed David Hoffman, a Democrat, for the United States Senate on Wednesday.",Hoping Prominent Support Will Translate to Victories,0
